id,person_id,planet_name,zodiac_sign,degree,trait,description
,10581838,Солнце,Водолей,325.15,"оригинальный, независимый, дружелюбный","отражает сущность личности, её эго и жизненную силу."
,10581838,Луна,Телец,47.17,"практичный, надёжный, чувственный","описывает эмоции, инстинкты и внутренний мир."
,10581838,Меркурий,Водолей,315.33,"оригинальный, независимый, дружелюбный","отвечает за мышление, речь и восприятие информации."
,10581838,Венера,Рыбы,330.67,"мечтательный, чувствительный, духовный","связана с чувствами, любовью и эстетикой."
,10581838,Марс,Рак,113.96,"эмоциональный, заботливый, интуитивный","отвечает за активность, волю и сексуальность."
,10581838,Юпитер,Близнецы,86.13,"общительный, любознательный, умный","символизирует рост, удачу и мировоззрение."
,10581838,Сатурн,Лев,147.29,"лидерский, творческий, харизматичный","представляет структуру, дисциплину и ограничения."
,10581838,Уран,Скорпион,226.39,"интенсивный, страстный, проницательный","отвечает за перемены, оригинальность и бунт."
,10581838,Нептун,Стрелец,257.99,"оптимистичный, философский, свободолюбивый","влияет на интуицию, мечты и иллюзии."
,10581838,Плутон,Весы,196.5,"гармоничный, дипломатичный, эстетичный","связан с трансформацией, силой и глубиной."
,10581838,Северный узел,,188.21,,"Узел развития, показывает кармическое направление"
,10581838,Южный узел,,8.21,,"Узел прошлого, символизирует кармические привычки"